=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【下长】	a55 loung53	①下半部分▷～{𫧃,儥}振动（下半身不能动弹）|剧本好了～是导演其事计（剧本好了，接下去是导演的事）。
【下轮】	a33 lung53	下一回。
【下{墿,路}】	a53 luo242	同［下四府］。
【下{墿,路}侬】	a53 luo242 neoyng53	福建南部的人，常指说闽南话的泉州和漳州的人。又说［下府侬］。
【下南】	a33 nang53	指闽南一带。
【下南粿】	a53 nang33 ngui33	一种闽南传来的绿豆沙作馅的甜糕。
【下南鬼】	a53 nang33 ngui33	对闽南人的贬称。
【下二日】	a21 ni55 nik5	往后，以后，将来▷～无能耐{总款,这样款}了（以后不许这样）|今旦先讲遘𪢕呢，～其事计～介讲（今天先说到这儿，往后的事情往后再说）。也说［下日］。
【下日】	a55 nik5	以后▷～汝自家会{八,仈}（以后你自己会理解的）。
【下四府】	a21 si53 hu33	南半个福建。旧时全闽分为八个府，南部的泉州、漳州、兴化和西南部的汀州合称下四府，也说［下{墿,路}］。
【下府】	a53 u33	同［下{墿,路}］。
【下府侬】	a53 u33 neoyng53	同「下{墿,路}侬］。
【下八洞】	a21 weik5 dooyng242	下等人，通常与行为不端相关▷无共许蜀帮～客遛（别跟那伙不三不四的下等人一起玩儿）。
【唉嚇】	ai55 hak24	表示惊讶、惊叹的叹词，置于句首做独立语。
【揖】	ak24	作揖，多用于向神明施礼。
【鸭囝】	ak24 giang33	①鸭子。②一般的肉用鸭子。
【鸭雄】	ak21 hyng53	公鸭。
【鸭雄声】	ak23hyng31niang	沙哑的声音〈贬〉。
【鸭母】	ak24 mo33	母鸭。
【鸭母骹】	ak21 mo21 a55	走路时脚尖向外的脚势。
【鸭母摆】	ak21 mo21 bai53	鸭子般一摆一摆地走。
【鸭母泅】	ak21 mo21 liu53	狗爬式游泳，头总露在水上，两臂交替划动。
【鸭母卵】	ak21 mo55 looung242	鸭蛋，喻指考试得零分▷今旦考书食～（今天考试吃零蛋）。
【鸭屎色】	ak21 sai55 laik24	不明晰，不鲜艳的难看颜色，多用于指布料的图案花色。也说（鸭呕色）ak21au44laik23。
【鸭羶】	ak21 sieng55	鸭子尾部的性腺，食之味羶。
【盒盒】	ak33 ak5	盒子。
【倚】	ai55	同［倚望］。
【倚望】	ai55 uong242	希望，仰仗▷汝伓使～伊（你别仰仗他了）。也说［倚］。
【扼】	aik24	（用手）使劲压，摁▷腹佬疼着食药，使手～有{什乇,世乇}使（肚子疼要吃药，用手摁住有什么用）?
【安】	ang55	强迫▷伓做也着～伊做（不干也得逼他他干）。也说［干］gang44。
【安灶家】	ang21 jau55 a55	乔迁之庆，须置酒请亲友。此习俗与供奉灶君的迷信有关。
【安安心】	ang21 ngang55 ning55	安心，放心。多用于劝慰，有强调意味▷汝～去睏，时间遘我告汝爬起（你放心睡去，时间到了我叫你起床）。
【含】	ang53	①搭配▷好呆～咧食（好的差的搭配着吃）。②（分东西时）使平均▷～来～去～{𫧃,儥}平（匀来匀去匀不平）。
【含病】	ai21 mang242	①不可告人的病。②隐蔽的毛病▷者乇怎讲会卖只便宜，我看有～（这东西怎么卖得这么便宜，我看里面有毛病）。
【含补】	ang33 muo33	好坏利弊搭配着以显出公平▷无钱侬身体好，都～𠲥（穷人身体好，好事坏事搭配着呢）。
【桁】	ang53	房屋的檩条。
【椷囝】	ang33 ngiang33	①原指小棺材。②也喻称顽皮作恶的小孩。多用于詈骂小孩，也说［椷囝鬼］，［椷囝蒂］。
【椷囝鬼】	ang21 ngiang55 gui33	同［椷囝］。
【椷囝蒂】	ang21 ngiang55 dei213	同［椷囝］。
【饮】	ang33	米汤。也说［饮汤］。
【饮汤】	ang21 noung55	同［饮］。
【饮䭕】	ang24 ziang33	淡而无味，多引申于人情世事无昧▷囝儿{𫧃,儥}孝顺野～（孩子不孝顺，真没昧）。
【饮被】	ang24 pui242	米汤冷却后面上所凝成的一层。
【掩】	ang33	掩上（门）。
【黭】	ang33	物质败坏，引申为老人风烛残年。
【黭腐】	ang55 pou242	（ 木头）腐朽。
【按煞】	ang21 nak24	使平息，多指上辈对付下辈▷两隻兄弟哥冤家，快共～囇（哥儿俩吵起来了，快去镇一镇）。
【暗】	ang213	①（天色）黑▷天～了（天黑了）。②（火）灭▷火～去（炉子灭了）。
【暗触】	ang53 ceoyk24	不可表露的不满和厌恶▷伊有{什乇,世乇}～底侬{八,仈}（他有什么暗中的不满谁知道）？也说［暗暝触］。
【暗暝触】	ang21 mang53 ceoyk24	同［暗触］。
【暗暝毒】	ang21 mang55 duk5	阴险毒辣▷许隻老板正正～（那个老板真是阴险毒辣）。
【暗蜂】	ang55 mung55	一种蜂，蟑螂的天敌。
【暗摸摸】	ang21muo44muo44 ang21mok53mok23	黑暗，黑洞洞。也说［暗黢黢］ang21cuk5cuk5。
【暗色】	ang53 naik24	不明亮的颜色。
【暗𠲥】	ang213ne	暗中，暗地▷无{𫷾,撄}{总款,这样款}～做（别这样暗暗地做）。
【暗看】	ang53 ngang213	带问神者下阴间寻访死去的亲人的巫事。
【暗杠】	ang53 ngoung213	麻将牌中四块相同的牌子，可以覆盖秘藏计分。
【暗火】	ang52ngui31	烧不旺的火。
【暗袋】	ang53 nooy242	缝在内里的口袋。
【暗{墿,路}】	ang53 nuo242	夜路▷无信鬼溪势伓敢行～（不信鬼怎么不敢走夜路）？
【晏子】	ang53 zy33	晚年所得的儿子。
【焊】	ang242	行贿▷使钱过（用钱行贿）。
【馅馅】	ang21 ang242	馅儿。
【拗拗色】	au21 au55 laik24	指布料中不醒目的浑浊颜色。
【拗癖】	au53 peik24	执拗的脾气。也说［謷癖］ngau53peik23
【后家】	au55 a55	多指商人的妻子，可以自称也可以是他称。
【后九】	au53 au33	阴历正月廿九日，是福州的一个转统节日，各家各户食用红枣、桂圆、花生和糯米熬成的甜粥，如北方的“腊八粥”。该节日的来历也与目莲救母的传说有关。
【后九寒】	au21 au21 ang53	阴历正月二十九前后出现的春寒。
【后九粥】	au21 au55 jeoyk24	阴历正月廿九日时吃的甜粥。参见［后九］。
【后手】	au53 ciu33	有随手收拾的习惯称为有后手，否则称为无后手，后者较为常用。▷无～，蜀满世抛拉（不随手收拾，到处抛撒）。
【后徛山】	au21 ie55 lang55	靠山，后台▷伊～真硬，都有官做（他后台硬，总有官当）。
【后向】	au53 yong213	后边儿，背后▷伊厝就着我厝～（他家就在我家后面）。
【后山】	au55 lang55	①房后的山。也叫［后门山］au44muong44nang44。②靠山，后台。
【后䟓】	au55 lang55	脚后跟▷鞋恰嫩，～行野疼（鞋太小，脚后跟走疼了）。
【后斗】	a33 lau33	后面。也说［后斗势］a21lau44lie213。
【后埕】	au55 liang53	房屋后面的场子。
【后落】	au55 loh5	旧式大房子的后座。
【后奶】	au53 ne33	后娘▷～{𫧃,儥}疼前婆囝（后娘不疼前妻的儿子）。也说［后郎奶］au53noung31ne31。
【后日】	au55 (au21) nik5	后天。
【后牙】	au55 nga53	后臼齿。
【后年暝】	au55 nieng55 mang53	后年。
【后僻】	au53 piek24	旧式大房子后天井旁的厢房。
【后台】	au55 sai53	①后台，有势力的背后支持者▷伊～野硬（他后台硬得很）。②贿赂▷食～（收贿）。
【后伯】	au53 wak24	继父。也说［后郎罢］au53loung21ma242。
【后𩩍】	au55 piang24	后背▷单单看𠲥～{𫧃,儥}{八,仈}底蜀隻（只看见后背，不知是那个）。
【后保】	au52bo31	（自行车）后闸。
【后房】	au55 wung53	福州旧式大宅中，厅堂旁边的正房隔成前后房，称［前房］、［后房］。
【疤疤】	ba33 ba55	疤。
【芭蕉果】	ba21 jiu53 uo33	香蕉。
【巴结䖙】	ba21 iek24 teo33	善于巴结的人▷有其侬做官就爱挃～（有的人当官就喜欢善巴结的人）
【巴腊】	ba33 lak5	摇晃，抖动▷犬囝由水𠲥爬上岸，扼𠲥～头（狗从水里爬上，头直抖动着）。
【巴跚】	ba33 lang55	蹒跚▷伊囝乍会～（他儿子才会蹒跚学走）。
【巴𪠽】	ba33 lang55	货郎鼓声或金属器具碰击声，拟声词。
【巴𪠽倒】	ba33 lang53 no33	翻倒，倒下▷做风颱，门吹～去（刮台风，门吹倒了）。
【巴𪠽鼓】	ba21 lang24 ngu33	货郎鼓。
【巴𪠽鼓坠】	ba21 lang21 ngu55 tui242	蝌蚪。也写作［拨郎鼓锤］
【巴领】	ba53 liang33	领子。
【扒】	ba53	①捞（钱财）▷诸侬团真会～乇乞夫家（女儿很会捞东西给夫家）。②搔▷～痒（挠痒痒）。③往口里拨饭▷～饭（扒拉饭）。④挖▷使铁粑～蜀空空（用铁钯挖个窟窿）。
【扒扒】	ba33 ba53	耙子。
【扒宝】	ba31b31	讽刺人贪得无厌，不管什么东西都当作财宝往里捞▷伊第一会～，逢乇都卜挃（她最爱捞，什么东西都要）。
【扒抠】	ba33 kau55	拼命捞▷伊真会～，见乇就挃（他很会捞东西，什么都要）。
【扒擒】	ba21 kieng53	抓住不放〈贬〉▷伊逢乇都～，{𫧃,儥}象话（他什么都抓住不放，不像话）。
【扒头挖耳】	ba21 lau21 uak5 ngei242	抓耳挠腮▷者伲囝野贱，告伊定定坐仂𣆯就～（这孩子很皮，叫他安安静静坐一会儿，就抓耳挠腮）。
【扒涉】	ba21 liek24	船桨。
【扒捞】	ba21 loo242	贪婪地捞取▷伊逢乇都～乞外家（她什么东西都捞给娘家）!
【扒耳】	ba21 ngei242	掏耳屎。
【扒板】	ba21 weing33	一种丁字形扒谷子的铁器。
【扒粪扫】	ba21 wung53 noo213	①翻动垃圾▷鸡姆～，无事讨事做〈俗〉（像母鸡去扒垃圾样没事找事干）。②掏垃圾▷今旦工人来～，扒野澈（今天工人来掏垃圾，掏得很干净）。
【爬屐】	ba33 kiak5	爬来爬去、爬上爬下▷伲囝屈厝𠲥七处～（小孩在家里到处爬）!
【爬踮】	ba33 laing213	①翻覆▷昨暝晡睏{𫧃,儥}着～来～去（昨夜睡不着翻来覆去）|船～去（船翻了）！②反口▷伊～去伓承认（他反口了，不承认）。
【爬爬跳】	ba21 wa21 tiu213	因焦急或气极而坐立不安▷榜故未发伊心𠲥～（还没发榜，他心里急不可耐）|蜀讲伊缺点，伊就～（一说他缺点他就坐立不安）。也有人说［炦炦跳］bak21bak21tieu213
【把】	ba33	约数▷十～侬（十来个人）|点～钟（一个多钟头）。
【霸】	ba213	①出色▷伊野～（他很出色）。②霸道▷者侬过～（这人霸道）。③酒性烈▷者烧酒野～（这白酒度数很高）。
【欛欛】	ba21 wa213	男性生殖器。也说［巴巴囝］ba21wa53iang31、［朘友］
【𥄹吊】	ba21 lau213	凸起，凸出▷目睭～出来（眼珠凸出）|骨对断去～出来（骨折了凸出来）。
【爸奶】	ba53 ne33	父母▷伊～都无去了（他父母双亡了）!
【伯罕】	ba53 ang33	夫兄之妻。
【擘】	bak24	①掰开▷饼～半爿乞我（饼掰一半给我）。②张开▷喙～野大（嘴巴张得很大）。
【擘颏】	ba55 hai53	掰开下巴，比况乱喊乱叫地骂人〈詈〉。
【擘喙】	ba53 jui213	打哈欠▷昨瞑晡睏{𫧃,儥}好，今旦直透～（昨晚没睡好，今天直打哈欠）。
【百日裡】	ba21 nik53 die33	人死后的一百天之内▷福州侬爸奶死后～会讨亲哩（福州人父母死后一百天内可以娶亲）。
【百日外】	ba21 nik53 ngie242	人死一百日之后▷福州风俗爸奶死后～{𫧃,儥}讨亲哩（福州风佑父母死一百日之后孝服期内不能娶亲）。
【百岁】	ba53 ui213	老人亡故〈讳〉▷等老侬～以后介讲（等老人亡故后再说）。
【㕹】	bak5	吧嗒，嘴居开合作声▷薰囝含喙𠲥～去、～去（香烟叼在嘴里，吧嗒、吧塔地吸着）。
【白粞粞】	ba21 ca53 ca213	白白的▷伊粉涂𠲥蜀面～（他涂着粉，满脸白白的）。
【白赤】	ba21 ciek24	凤尾鱼。
【白𢯽𢯽】	ba21 co53 coo213	极白。也说“𢲶𢲶白”ce21je44wak5。
【白菜胀】	ba21 jai53 duong213	不卷心、或卷得不结实的大白菜。
【白菜囝】	ba21 jai53 iang33	小白菜。
【白㾀】	ba33 keo33	头皮表面脱落下来的碎屑。
【白胶】	ba55 kau55	松香。
【白澈】	ba21 lak24	洁白，又白又干净▷伊皮肤野～（她皮肤洁白）。
【白鸽】	ba21 lak24	鸽子。
【白腊煠】	ba21 lak5 sak5	（不加佐料地）煮▷清水～，野伓好食（清水里白煮的很不好吃）。
【白头孙】	ba55 lau55 loung55	年长于叔父的侄儿▷伊盾𠲥“乌头叔，白头孙”〈熟〉（他家里侄儿年长于叔父）。
【白洗洗】	ba21 le24 le24	苍白。也说［洗洗白］。
【白洗睨】	ba21 le24 nge33	①掉色变白心衣裳洗遘～去（衣服到褪色变白了）。②无所有心伊蜀身～（他身上一无所有）
【白𩽏】	ba55 lik5	一种多骨的海鱼，体扁平，味美▷～味鲜骨価伲囝伓好食（白𩽏鱼鲜味但骨多小孩儿吃不来）。
【白泻泻】	ba21 lia53 lia213	①极白〈贬〉心▷全颂白其～{什乇,世乇}好看（全穿白的，白乎乎地有什么好看）！②褪色变白▷衣裳退色退遘～去（衣服褪色变得白不呲咧了）。③食物淡而无味▷者龙眼食喙𠲥～无蜀滴甜（这龙眼吃进嘴巴淡而无味，一点儿不甜）。
【白豉】	ba55 lie242	白色的酱油。
【白食】	ba55 liek5	①不吃菜光吃饭▷无配～（没菜光吃饭）。②不付钱白吃▷我乞汝～三日去了，无收汝一片钱（我让你白吃三天了，没收你一文钱）！也说［白白食］ba21wa44liek5
【白身】	ba55 ling55	白丁，旧称无官衔、无功名的人。
【白鮻】	ba55 lo55	一种淡水鱼，色白体小。
【白桃】	ba55 lo53	一种桃名，色白、质硬。
【白老鼠】	ba21 lo24 jy33	①小白鼠。②身无分文〈谑〉▷今旦我～（今天我身无分文）。
【白逿】	ba21 loung242	东游西逛伺机窃物的小偷▷我厅中其钟乞～偷去（我客厅的钟被小偷偷去了）!
【白涂】	ba55 lu53	①粉笔。也叫［白墨］。②透视检查胃肠时服食的硫酸钡。
【白露烘】	ba21 lu53 gooyng213	白露前后的高温天气▷这几日野热是～（这几天处于白露前后，天气特别热）
【白面】	ba21 meing213	妓女。也说“白面哥”ba21ming44ngo44。
【白墨】	ba55 meoyk5	粉笔▷汝有无红其～（你有红色的粉笔吗）?也说［白墨粉］ meoy53hung31
【白目拗】	ba21 meoyk53 au213	不驯服，喜欢顶撞▷这隻伲囝～，汝讲𪢕伊就卜𠲛。（这个孩子不驯服，你说这他就要那）!
【白面猴】	ba21 ming55 gau53	对妓女的蔑称。
【白面厝】	ba21 ming53 juo213	妓院。
【白面头】	ba21 ming55 tau53	鸨母。也叫［依大］或［依大头］。
【白面鳀】	ba21 ming55 ti53	鳀鱼的一种。
【白凝涂】	ba21 ngik5 tu53	白粘土。
【白仁】	ba21 ning53	白眼珠。
【白屁】	ba21 pei213	詈词▷伊侬无着𠲥汝讲～（他人不在你讲个屁）|有做着早做，仱做做～（要干就得早点干，现在干顶屁用）。
【白雪雪】	ba21 suok5 suok24	雪白。也说［雪雪白］。
【白话】	ba21ua42	俗语▷～有计:“侬比侬，气死侬”〈俗〉（俗话说“人比人，气死人”）。
【白粿】	ba33 (ba53) ui33	一种以梗米粉制作的粮食复制品，即北方的“年糕”。
【白玉疮】	ba55 uong55 coung55	头癣，患处头发脱落。
【白丸囝】	ba53 uong33 ngiang33	一种甜食，米粉搓成的小丸子，加水煮后再拌入白糖。
【白白饭】	be31wa21wong242	①白米饭▷～乞汝食肥肥𠲥（白米饭让你吃得胖胖地）。②不佐以菜肴的米饭▷食～，无蜀滴配（光吃饭，没一点菜）。佐以菜肴的米饭▷食～，无蜀滴配（光吃饭，没一点儿菜）。
=============PAGESTART=11,PAGEEND=20
【白片鸡】	ba33 wieng55 gie55	菜肴名，即北方的“白斩鸡”。
【白坯】	ba55 wui55	未上漆的木器或工艺品▷许堂闲架是～其（那套家具是未上漆的）。
【白䭕䭕】	ba21 ziang24 ziang33	不咸，淡而无味▷者𩸞油掺水其，食喙𠲥～（这鱼露掺水的，吃了淡而无味）。也说［白水䭕］ba21zui24ziang31
【败】	bai242	挥霍浪费▷者侬真～，好好其乇都伓挃去（这人真浪费，好好的东西都不要了）。
【败囝】	bai53 iang33	挥霍家财的子弟▷伊厝𠲥出蜀隻～，家贿都乞败完去（他家出了个败家子，家产都给搞光了）。
【败尾囝】	bai21 mui24 iang33	败家子。
【{八,仈}】	baik24	①知道，知晓▷只件事计我{𫧃,儥}～，伊～仂囝，惊惊也无～偌夥（这件事我不知道，他知道一点，怕也没知道多少）。也说［{八,仈}传］②认识▷共总{俪,㑚}～只几字（总共才认得这几个字）|只蜀班我～其侬{𫧃,儥}狠（这一班我认识的人不多）。也说［会{八,仈}］。③懂，理解▷汝大囝真～事（你的大儿子很懂事）|只裡道理我～{𫧃,儥}清楚（这其中的道理我理解不透）。
【颁】	bang55	张开▷两个骹～（两腿张开着）。
【颁直腿】	bang53 dik33 teoy33	两腿前后分开成一字形。
【版横腿】	bang53 huang33 neoy33	两腿左右分开成一字形。
【颁罅罅】	bang21 hia55 hia55	离得很开聚不拢▷蜀厝～，汝蜀方、伊蜀方（全家聚不拢，你一方、他一方）。也说［颁奇奇］bang21ngia44ngia44
【平】	bang53	（副）用于形容词前，表示程度相同▷～大（一样大小）|～悬（同样高）|～価（同样多）。也说［平平］。
【平八】	bang21 baik24	彻底完蛋，不可收拾▷雹逿囇，瓦顶～去（下了雹子，屋顶的瓦片彻底毁了）。
【平扁】	bang33 bieng33	（脸形）扁平▷伊面生～，目睭野活（她脸长得扁平，眼睛很灵活）。
【平平】	bang33 mang53	同［平］。
【平平{墿,路}】	bang21 mang21 nuo242	平坦的路、平路▷～{墿,路}跋死侬〈俗〉（平路也会摔死人）。
【平煞】	bang21 nak24	平息▷昨暝兄弟哥大拍，今且乍～去（昨天弟兄打架打得凶今天才平息了）。
【平静】	bang21 nang242	①平息。②平稳安静。
【平直】	bang33 nik5	①整齐▷下回去衣裳着颂～仂囝（下次去要把衣服穿整齐一点）|满世类遘野～（到外收拾得很整齐）。②（钱财往来）两清，清楚▷来往其钱算～了（往来的钱两清了）|数算～了（账算清楚了）。③（为人）正派、厚道、诚实▷伊郎罢侬野～，就是做事计{𫧃,儥}大胆（他父亲做人很正派，就是办事不够大胆）。
【平长】	bang33 noung53	①平妥▷者事做～去了（此事办平稳妥善了）。②一样长▷两条索～（两条绳子一样长）。
【平骹】	bang33 nga55	天足▷伊～，无缠骹（她天足，没裹脚）。
【平骹村】	bang21 nga55 joung55	旧时妇女从事劳动不裹脚的村子。
【平骹嫂】	bang21 nga53 lo33	旧时不裹脚的劳动妇女。
【平洋】	bang33 ngyong53	大片平坦的田地▷门前口蜀片～（门前是一片平坦的田园）。
【平正】	bang21 ziang213	质量差▷{总款,这样款}米{只,这}{般,满}～蒋样食（这种米这么差怎么吃）？
【平主】	bang33 zuo33	暗娼户。
【澎澎浮】	bang21 mang55 pu53	水淋淋▷蜀身～（浑身水淋淋的）。
【柄柄】	bang21 bang213	柄把儿。也说［柄］bang213。
【病笨】	bang53 boung242	动作不灵活▷棉袄颂身𠲥野～（穿着棉袄，动作很不灵活）。
【病疳】	bang55 gang55	发育不良，长不大▷这头猪～去，罔变罔嫩去（这头猪长不大，越来越小了）|者伲囝～去，面青青偌（这小孩儿发育不良，脸色青青的）。
【病囝】	bang53 giang33	妇女孕期的不适反应，害喜▷伊～，蜀食就吐（她害喜，一吃就呕吐）。
【病钱使】	bang53 jieng33 nai33	极为贪财如害病一般▷汝故喊我～，我伓挃者钱（你以为我得了想钱病，我不要这些钱）。
【病清洁】	bang21 jing53 ngiek24	过分的洁癖▷伊～，{𫧃,儥}爱挃侬客去伊厝𠲥（她有洁癖，不喜欢客人到她家里去）。
【病壳】	bang53 kooyk24	病字旁儿（汉字偏旁）。
【病屎】	bang53 nai33	①生长、发育不良▷～其芭蕉，乍只偌大（长不好的香蕉，才这么一点儿大）！②不长进，没出息▷依哥野本事，依弟野～（哥哥很有本事，弟弟很没出息）。
【病癞】	bang53 nai242	麻风病。也说［痼𤶁病癞］gu53lo31bang53nai242
【病泻】	bang53 nia213	拉肚子，腹泻。
【病泻屎】	bang21 nia53 lai33	腹泻的粪便▷拉～（拉稀）。
【病疼】	bang53 niang213	病痛▷囝伲无着厝，有～就喫亏咯（儿女不在家，有病痛就受罪了）。
【病耀】	bang53 niu242	①企望▷汝喊哩我～挃者钱（你以为我企望这钱）？②作为前项的反语，表示“不想”“不欲”，带强调语气▷我～去（我才不去呢）！我～勷（我才不稀罕呢）！
【病吐泻】	bang21 nu53 lia213	原指霍乱症，上吐下泻。常用于诅咒人，意为不得好死。
【病哑】	bang53 nga33	哑巴，哑。
【病腿】	bang53 teoy33	麻风病，腿部溃烂。
【病颤疯】	bang21 zieng55 ngung55	神经麻痹，头部或四肢不停地颤动。
【包包】	bau33 bau55	包儿，手提包▷～掏我拈（包儿让我拿）。
【包股】	bau53 gu33	裤子紧裹着臀部。
【包菜】	bau53 jai213	洋白菜，圆白菜。
【包车】	bau55 jia55	小轿车▷新人坐～来（新娘子坐小轿车来）。
【包食】	bau55 liek5	①肯定能赢▷汝罔共伊拍，～伊其（你尽管去跟他打，定能赢他）。②肯定能吃▷者荔枝熟了，～其（这荔枝够熟了，肯定能吃）。
【𥄹】	bau213	凸起，鼓出▷目睭～（眼睛鼓鼓地）|𬂌～（胸脯鼓起来）。也说［𥄹吊］。
【{刨,鉋}】	bau242	①（鸡）相啄斗▷鸡角大～（公鸡搏斗）！②家禽交配▷鸡角～鸡母（公鸡母鸡交配）。
【博】	boouk24	①交换▷蜀块钱～十张蜀角其（一元钱兑换十张一角的）②（学问）渊博▷伊真～（他的学问很渊博）。
【搏命】	bouk5 miang242	拼老命▷自费留学生都着拍～去做工（自费留学生都得拼老命去打工）。
【卜】	boouk24	①但愿▷明旦～其无逿雨（明天希望不下雨）。②碰运气▷者事无一定成功罔去～（这事不一定成功，碰碰运气看）。
【俾】	be55	模样，样子〈贬〉▷我{俪,㑚}者～，汝看会顺眼{𫧃,儥}（我就这个样子，你看得顺眼吗）？
【排】	be53	明摆着▷乇～桌𠲥，{固,故}{𫧃,儥}看见（东西就摆在桌子上，还看不见）？
【排驾】	be21 ga213	摆架子▷伊去街都着坐的士，～（他上街都要坐的士，摆架子）。
【排打】	be33 la33	摆设，布置▷厅中着～囇（大厅要摆设一番）。
【排桌】	be21 looh24	把餐具摆上餐桌▷五点就～去了，这𣆯{固,故}未上菜（下午五时就把碗、盘摆在桌上了，这么久还没有上菜）。
【排场】	be33 luong53	讲究排场、显耀▷汝有钱无{𫷾,撄}𠲥～侬（你有钱别在人前讲排场、显耀）。
【牌头】	be33 lau53	商标▷{什乇,世乇}～其电扇好（什么商标的电风扇好）？
【牌套】	be21 loo213	神主牌。
【摆】	be33	（动词）摇摇摆摆地走，慢条斯理地走动▷伊～来～去～{𫧃,儥}出门（他走来走去、总走不出门）。|行{墿,路}蜀～就伓好看（走路一摇摆就不好看）。
【摆西】	be33 le55	转向▷船尾～过来（船尾转过来）。
【摇冷】	be33 leing33	翻动▷鼎𠲥煎鱼去～囇（锅里煎鱼去翻动一下）。
【摆冷鳍】	be21 leing21 ci55	①鱼死肚子朝上翻▷鲤鱼～去（鲤鱼肚子朝上，死了）。②翻转▷盘盘～覆桌𠲥（盘子底朝上盖在桌子上）。
【摆冷犬】	be21 leing24 keing33	反犬旁（汉字偏旁）。
【摆冷白】	be21 leing21 mak5	翻白眼▷听者话伊目睭气～去（听了这话，她气得翻白眼）！
【摆冷覆】	be21 leing55 pouk24	①倒覆，上下倒置▷香炉～落来了（香炉倒覆下来了）。②俯伏▷～𠲥睏（俯伏着睡）。
【摆转里】	be21 luong24 ni33	内外翻转，或里和面翻转▷簿簿写完会～𠲥写（本子写完了可以反过来再写）|衣裳颂～去（衣服穿反了）。
【箅】	bei213	①箅子。也说［“箅箅”］bi21bei213。②挡住渣滓把液体倒出▷～蜀杯茶（斟一杯茶）。
【痹】	bei213	①肢体发麻的感觉▷坐恰𣆯，骹坐～去（坐得太久，脚坐得发麻）。②遭电击▷手～蜀下（手被电了一下）。
【{八,仈}板】	beik24 being33	懂规则，照规矩行事▷做事计着有～（办事情要懂规矩）。|卜合作着有～（要合作得照规矩行事）。
【八背】	beik5 bui242	时运不好，倒霉▷我～去，乍共汝合作就蚀本去（我倒霉，才跟你合作就折本了）。也说“背”bui242。
【{八,仈}事】	beik5 dai242	懂事▷伲囝大去会～了（小孩儿大了懂事了）。
【{八,仈}传】	beik21 duong53	同［八］知道▷者事蜀乞～就伓好做（这事一让他知哓就不好办了）。
【八音】	beik21 ing55	①福州话字典《戚林八音》的简称。②《戚林八音》创造的声调呼读法。如:公滚贡谷，群滚郡掘。依次是平上去入，各分清浊。实际上因浊上归浊去，只有七个音调，浊上用清上重复呼读。
【{八,仈}势】	beik5 sie213	识时务▷做侬会～就{𫧃,儥}食亏（做人识时务就不会吃亏）。也说“{八,仈}势况”bei21sie53uong213。
【{八,仈}字】	beik5 zei242	识字▷{𫧃,儥}～，看告示，呢鲁亮，复蜀字〈谚〉（文盲看告示，煞有介事，讥人不懂装懂）。
